Month,Erie
1918-01-01,570.54
1918-02-01,570.28
1918-03-01,570.9
1918-04-01,570.93
1918-05-01,570.8
1918-06-01,571.19
1918-07-01,571.26
1918-08-01,571.16
1918-09-01,571.16
1918-10-01,570.93
1918-11-01,570.93
1918-12-01,570.9
1919-01-01,570.87
1919-02-01,570.87
1919-03-01,571.23
1919-04-01,571.69
1919-05-01,572.38
1919-06-01,572.47
1919-07-01,572.15
1919-08-01,571.82
1919-09-01,571.46
1919-10-01,571.13
1919-11-01,570.96
1919-12-01,570.51
1920-01-01,569.95
1920-02-01,569.39
1920-03-01,569.46
1920-04-01,570.24
1920-05-01,571.0
1920-06-01,571.16
1920-07-01,571.29
1920-08-01,571.29
1920-09-01,571.06
1920-10-01,570.73
1920-11-01,570.57
1920-12-01,570.64
1921-01-01,570.6
1921-02-01,570.47
1921-03-01,570.77
1921-04-01,571.36
1921-05-01,571.72
1921-06-01,571.65
1921-07-01,571.52
1921-08-01,571.16
1921-09-01,570.87
1921-10-01,570.51
1921-11-01,570.37
1921-12-01,570.41
1922-01-01,570.14
1922-02-01,569.75
1922-03-01,570.05
1922-04-01,571.03
1922-05-01,571.42
1922-06-01,571.52
1922-07-01,571.39
1922-08-01,571.13
1922-09-01,570.93
1922-10-01,570.47
1922-11-01,570.01
1922-12-01,569.69
1923-01-01,569.75
1923-02-01,569.42
1923-03-01,569.69
1923-04-01,570.14
1923-05-01,570.51
1923-06-01,570.67
1923-07-01,570.64
1923-08-01,570.37
1923-09-01,570.21
1923-10-01,569.85
1923-11-01,569.62
1923-12-01,569.98
1924-01-01,570.08
1924-02-01,569.95
1924-03-01,569.82
1924-04-01,570.34
1924-05-01,570.83
1924-06-01,571.0
1924-07-01,571.13
1924-08-01,570.87
1924-09-01,570.57
1924-10-01,570.34
1924-11-01,569.75
1924-12-01,569.55
1925-01-01,569.26
1925-02-01,569.16
1925-03-01,569.65
1925-04-01,569.98
1925-05-01,569.91
1925-06-01,569.85
1925-07-01,569.75
1925-08-01,569.75
1925-09-01,569.59
1925-10-01,569.19
