Month,Michigan-Huron
1918-01-01,579.76
1918-02-01,579.82
1918-03-01,580.05
1918-04-01,580.35
1918-05-01,580.68
1918-06-01,580.94
1918-07-01,580.94
1918-08-01,580.74
1918-09-01,580.51
1918-10-01,580.15
1918-11-01,580.12
1918-12-01,579.99
1919-01-01,579.86
1919-02-01,579.66
1919-03-01,579.66
1919-04-01,579.95
1919-05-01,580.35
1919-06-01,580.45
1919-07-01,580.31
1919-08-01,580.15
1919-09-01,579.79
1919-10-01,579.59
1919-11-01,579.46
1919-12-01,579.23
1920-01-01,579.07
1920-02-01,578.97
1920-03-01,579.04
1920-04-01,579.49
1920-05-01,579.66
1920-06-01,579.82
1920-07-01,580.02
1920-08-01,579.92
1920-09-01,579.82
1920-10-01,579.56
1920-11-01,579.3
1920-12-01,579.07
1921-01-01,578.87
1921-02-01,578.81
1921-03-01,578.81
1921-04-01,579.2
1921-05-01,579.49
1921-06-01,579.53
1921-07-01,579.4
1921-08-01,579.2
1921-09-01,579.07
1921-10-01,578.87
1921-11-01,578.58
1921-12-01,578.54
1922-01-01,578.31
1922-02-01,578.22
1922-03-01,578.35
1922-04-01,578.84
1922-05-01,579.3
1922-06-01,579.49
1922-07-01,579.63
1922-08-01,579.49
1922-09-01,579.27
1922-10-01,578.94
1922-11-01,578.58
1922-12-01,578.25
1923-01-01,577.95
1923-02-01,577.85
1923-03-01,577.92
1923-04-01,578.15
1923-05-01,578.54
1923-06-01,578.77
1923-07-01,578.81
1923-08-01,578.74
1923-09-01,578.61
1923-10-01,578.38
1923-11-01,578.02
1923-12-01,577.79
1924-01-01,577.62
1924-02-01,577.59
1924-03-01,577.62
1924-04-01,577.79
1924-05-01,578.22
1924-06-01,578.35
1924-07-01,578.51
1924-08-01,578.67
1924-09-01,578.51
1924-10-01,578.22
1924-11-01,577.82
1924-12-01,577.56
1925-01-01,577.26
1925-02-01,577.17
1925-03-01,577.23
1925-04-01,577.3
1925-05-01,577.36
1925-06-01,577.43
1925-07-01,577.53
1925-08-01,577.4
1925-09-01,577.17
1925-10-01,576.9
1925-11-01,576.64
1925-12-01,576.57
1926-01-01,576.41
1926-02-01,576.31
1926-03-01,576.41
1926-04-01,576.74
1926-05-01,577.03
1926-06-01,577.4
1926-07-01,577.49
1926-08-01,577.53
1926-09-01,577.49
1926-10-01,577.33
1926-11-01,577.2
1926-12-01,577.26
1927-01-01,577.17
1927-02-01,577.23
1927-03-01,577.43
1927-04-01,577.69
1927-05-01,578.08
1927-06-01,578.41
1927-07-01,578.54
1927-08-01,578.44
1927-09-01,578.15
1927-10-01,578.12
1927-11-01,577.89
1927-12-01,577.82
1928-01-01,577.76
1928-02-01,577.79
1928-03-01,577.92
1928-04-01,578.38
1928-05-01,578.87
1928-06-01,579.07
1928-07-01,579.36
1928-08-01,579.46
1928-09-01,579.4
1928-10-01,579.43
1928-11-01,579.56
1928-12-01,579.59
1929-01-01,579.56
1929-02-01,579.49
1929-03-01,579.56
1929-04-01,580.25
1929-05-01,580.94
1929-06-01,581.2
1929-07-01,581.3
1929-08-01,581.14
1929-09-01,580.81
1929-10-01,580.38
1929-11-01,580.12
1929-12-01,579.66
1930-01-01,579.53
1930-02-01,579.53
1930-03-01,579.59
1930-04-01,579.69
1930-05-01,579.92
1930-06-01,580.02
1930-07-01,580.18
1930-08-01,580.05
1930-09-01,579.69
1930-10-01,579.3
1930-11-01,578.81
1930-12-01,578.44
1931-01-01,578.12
1931-02-01,577.99
1931-03-01,577.95
1931-04-01,577.99
1931-05-01,578.05
1931-06-01,578.08
1931-07-01,578.08
1931-08-01,577.89
1931-09-01,577.59
1931-10-01,577.49
1931-11-01,577.33
1931-12-01,577.23
1932-01-01,577.23
1932-02-01,577.2
1932-03-01,577.13
1932-04-01,577.26
1932-05-01,577.49
1932-06-01,577.56
1932-07-01,577.59
1932-08-01,577.46
1932-09-01,577.26
1932-10-01,577.0
1932-11-01,576.9
1932-12-01,576.71
1933-01-01,576.57
1933-02-01,576.54
1933-03-01,576.54
1933-04-01,576.87
1933-05-01,577.4
1933-06-01,577.62
1933-07-01,577.69
1933-08-01,577.49
1933-09-01,577.17
1933-10-01,576.87
1933-11-01,576.64
1933-12-01,576.51
1934-01-01,576.44
1934-02-01,576.35
1934-03-01,576.35
1934-04-01,576.57
1934-05-01,576.8
1934-06-01,576.9
1934-07-01,577.0
1934-08-01,576.9
1934-09-01,576.84
1934-10-01,576.64
1934-11-01,576.51
1934-12-01,576.64
1935-01-01,576.57
1935-02-01,576.57
1935-03-01,576.71
1935-04-01,576.94
1935-05-01,577.13
1935-06-01,577.33
1935-07-01,577.59
1935-08-01,577.56
1935-09-01,577.3
1935-10-01,577.13
1935-11-01,577.07
1935-12-01,576.94
1936-01-01,576.87
1936-02-01,576.8
1936-03-01,576.94
1936-04-01,577.17
1936-05-01,577.46
1936-06-01,577.66
1936-07-01,577.62
1936-08-01,577.43
1936-09-01,577.49
1936-10-01,577.4
1936-11-01,577.13
1936-12-01,576.77
1937-01-01,576.84
1937-02-01,576.84
1937-03-01,576.9
1937-04-01,576.97
1937-05-01,577.43
1937-06-01,577.56
1937-07-01,577.62
1937-08-01,577.56
1937-09-01,577.46
1937-10-01,577.17
1937-11-01,576.97
1937-12-01,576.77
1938-01-01,576.64
1938-02-01,576.94
1938-03-01,577.17
1938-04-01,577.69
1938-05-01,577.95
1938-06-01,578.35
1938-07-01,578.51
1938-08-01,578.58
1938-09-01,578.54
1938-10-01,578.35
1938-11-01,578.12
1938-12-01,577.85
1939-01-01,577.66
1939-02-01,577.66
1939-03-01,577.76
1939-04-01,577.92
1939-05-01,578.38
1939-06-01,578.74
1939-07-01,578.9
1939-08-01,578.94
1939-09-01,578.87
1939-10-01,578.58
1939-11-01,578.31
1939-12-01,578.02
1940-01-01,577.72
1940-02-01,577.66
1940-03-01,577.53
1940-04-01,577.56
1940-05-01,577.82
1940-06-01,578.08
1940-07-01,578.25
1940-08-01,578.31
1940-09-01,578.28
1940-10-01,578.05
1940-11-01,577.79
1940-12-01,577.66
1941-01-01,577.69
1941-02-01,577.69
1941-03-01,577.62
1941-04-01,577.72
1941-05-01,577.99
1941-06-01,578.05
1941-07-01,577.95
1941-08-01,577.79
1941-09-01,577.72
1941-10-01,577.82
1941-11-01,577.99
1941-12-01,577.89
1942-01-01,577.82
1942-02-01,577.85
1942-03-01,577.99
1942-04-01,578.38
1942-05-01,578.67
1942-06-01,579.07
1942-07-01,579.13
1942-08-01,579.07
1942-09-01,578.87
1942-10-01,578.67
1942-11-01,578.51
1942-12-01,578.25
1943-01-01,578.25
1943-02-01,578.31
1943-03-01,578.51
1943-04-01,578.84
1943-05-01,579.33
1943-06-01,579.95
1943-07-01,580.31
1943-08-01,580.45
1943-09-01,580.31
1943-10-01,580.05
1943-11-01,579.89
1943-12-01,579.59
1944-01-01,579.3
1944-02-01,579.2
1944-03-01,579.2
1944-04-01,579.3
1944-05-01,579.53
1944-06-01,579.69
1944-07-01,579.79
1944-08-01,579.66
1944-09-01,579.53
1944-10-01,579.4
1944-11-01,579.13
1944-12-01,578.9
1945-01-01,578.61
1945-02-01,578.51
1945-03-01,578.61
1945-04-01,578.9
1945-05-01,579.23
1945-06-01,579.79
1945-07-01,579.99
1945-08-01,579.86
1945-09-01,579.72
1945-10-01,579.59
1945-11-01,579.46
