Month,Ontario
1918-01-01,245.21
1918-02-01,245.14
1918-03-01,245.8
1918-04-01,246.39
1918-05-01,246.36
1918-06-01,246.26
1918-07-01,246.03
1918-08-01,245.64
1918-09-01,245.34
1918-10-01,245.21
1918-11-01,245.21
1918-12-01,245.14
1919-01-01,245.28
1919-02-01,245.14
1919-03-01,245.28
1919-04-01,245.8
1919-05-01,246.65
1919-06-01,247.24
1919-07-01,246.98
1919-08-01,246.59
1919-09-01,246.1
1919-10-01,245.64
1919-11-01,245.34
1919-12-01,244.98
1920-01-01,244.55
1920-02-01,244.23
1920-03-01,244.29
1920-04-01,244.75
1920-05-01,244.88
1920-06-01,244.82
1920-07-01,244.95
1920-08-01,244.88
1920-09-01,244.72
1920-10-01,244.52
1920-11-01,244.46
1920-12-01,244.69
1921-01-01,244.78
1921-02-01,244.69
1921-03-01,245.08
1921-04-01,245.67
1921-05-01,245.93
1921-06-01,245.8
1921-07-01,245.54
1921-08-01,245.11
1921-09-01,244.62
1921-10-01,244.29
1921-11-01,244.06
1921-12-01,244.03
1922-01-01,243.96
1922-02-01,243.9
1922-03-01,244.32
1922-04-01,245.28
1922-05-01,245.8
1922-06-01,245.93
1922-07-01,246.13
1922-08-01,245.73
1922-09-01,245.24
1922-10-01,244.78
1922-11-01,244.32
1922-12-01,243.83
1923-01-01,243.77
1923-02-01,243.67
1923-03-01,243.96
1923-04-01,244.55
1923-05-01,244.82
1923-06-01,245.14
1923-07-01,245.01
1923-08-01,244.59
1923-09-01,244.23
1923-10-01,243.83
1923-11-01,243.57
1923-12-01,243.7
1924-01-01,243.9
1924-02-01,244.09
1924-03-01,244.06
1924-04-01,244.59
1924-05-01,245.28
1924-06-01,245.47
1924-07-01,245.37
1924-08-01,245.24
1924-09-01,244.82
1924-10-01,244.62
1924-11-01,244.13
1924-12-01,243.77
1925-01-01,243.44
1925-02-01,243.64
1925-03-01,244.42
1925-04-01,244.82
1925-05-01,244.82
1925-06-01,244.62
1925-07-01,244.39
1925-08-01,244.09
1925-09-01,243.77
1925-10-01,243.5
1925-11-01,243.54
1925-12-01,243.7
1926-01-01,243.44
1926-02-01,243.27
1926-03-01,243.31
1926-04-01,244.13
1926-05-01,244.59
1926-06-01,244.59
1926-07-01,244.39
1926-08-01,244.23
1926-09-01,244.13
1926-10-01,244.13
1926-11-01,244.42
1926-12-01,244.62
1927-01-01,244.42
1927-02-01,244.49
1927-03-01,244.91
1927-04-01,245.18
1927-05-01,245.18
1927-06-01,245.31
1927-07-01,245.21
1927-08-01,244.95
1927-09-01,244.49
1927-10-01,244.23
1927-11-01,244.09
1927-12-01,244.82
1928-01-01,245.21
1928-02-01,245.18
1928-03-01,245.14
1928-04-01,245.64
1928-05-01,245.83
1928-06-01,245.83
1928-07-01,245.96
1928-08-01,245.87
1928-09-01,245.37
1928-10-01,244.98
1928-11-01,244.88
1928-12-01,245.01
1929-01-01,245.01
1929-02-01,244.98
1929-03-01,245.37
1929-04-01,246.52
1929-05-01,247.54
1929-06-01,247.67
1929-07-01,247.57
1929-08-01,247.18
1929-09-01,246.65
1929-10-01,246.16
1929-11-01,245.8
1929-12-01,245.64
1930-01-01,246.0
1930-02-01,246.33
1930-03-01,246.85
1930-04-01,247.24
1930-05-01,247.31
1930-06-01,247.34
1930-07-01,247.28
1930-08-01,246.69
1930-09-01,246.06
1930-10-01,245.47
1930-11-01,244.88
1930-12-01,244.49
1931-01-01,244.16
1931-02-01,243.96
1931-03-01,243.9
1931-04-01,244.19
1931-05-01,244.36
1931-06-01,244.65
1931-07-01,244.46
1931-08-01,244.16
1931-09-01,243.77
1931-10-01,243.44
1931-11-01,243.24
1931-12-01,243.18
1932-01-01,243.64
1932-02-01,244.29
1932-03-01,244.46
1932-04-01,245.05
1932-05-01,245.37
1932-06-01,245.28
1932-07-01,245.08
1932-08-01,244.78
1932-09-01,244.23
1932-10-01,243.83
1932-11-01,243.64
1932-12-01,243.54
1933-01-01,243.57
1933-02-01,243.47
1933-03-01,243.44
1933-04-01,244.06
1933-05-01,244.55
1933-06-01,244.65
1933-07-01,244.36
1933-08-01,244.03
1933-09-01,243.64
1933-10-01,243.11
1933-11-01,242.72
1933-12-01,242.65
1934-01-01,242.91
1934-02-01,242.95
1934-03-01,242.98
1934-04-01,243.57
1934-05-01,243.73
1934-06-01,243.5
1934-07-01,243.24
1934-08-01,242.78
1934-09-01,242.49
1934-10-01,242.19
1934-11-01,241.96
1934-12-01,241.93
1935-01-01,242.16
1935-02-01,242.32
1935-03-01,242.59
1935-04-01,242.88
1935-05-01,243.14
1935-06-01,243.41
1935-07-01,243.57
1935-08-01,243.31
1935-09-01,242.91
1935-10-01,242.52
1935-11-01,242.39
1935-12-01,242.36
1936-01-01,242.26
1936-02-01,242.06
1936-03-01,242.72
1936-04-01,244.26
1936-05-01,244.52
1936-06-01,244.36
1936-07-01,244.03
1936-08-01,243.54
1936-09-01,243.31
1936-10-01,243.04
1936-11-01,242.98
1936-12-01,242.78
1937-01-01,243.24
1937-02-01,243.9
1937-03-01,244.06
1937-04-01,244.32
1937-05-01,245.08
1937-06-01,245.31
1937-07-01,245.28
1937-08-01,245.05
1937-09-01,244.59
1937-10-01,244.09
1937-11-01,244.09
1937-12-01,243.9
1938-01-01,243.7
1938-02-01,244.03
1938-03-01,244.55
1938-04-01,245.08
1938-05-01,245.21
1938-06-01,245.14
1938-07-01,244.95
1938-08-01,244.88
1938-09-01,244.49
1938-10-01,244.29
1938-11-01,243.96
1938-12-01,243.67
1939-01-01,243.57
1939-02-01,243.64
1939-03-01,244.16
