,Month
0,1918-01-01
1,1918-02-01
2,1918-03-01
3,1918-04-01
4,1918-05-01
5,1918-06-01
6,1918-07-01
7,1918-08-01
8,1918-09-01
9,1918-10-01
10,1918-11-01
11,1918-12-01
12,1919-01-01
13,1919-02-01
14,1919-03-01
15,1919-04-01
16,1919-05-01
17,1919-06-01
18,1919-07-01
19,1919-08-01
20,1919-09-01
21,1919-10-01
22,1919-11-01
23,1919-12-01
24,1920-01-01
25,1920-02-01
26,1920-03-01
27,1920-04-01
28,1920-05-01
29,1920-06-01
30,1920-07-01
31,1920-08-01
32,1920-09-01
33,1920-10-01
34,1920-11-01
35,1920-12-01
36,1921-01-01
37,1921-02-01
38,1921-03-01
39,1921-04-01
40,1921-05-01
41,1921-06-01
42,1921-07-01
43,1921-08-01
44,1921-09-01
45,1921-10-01
46,1921-11-01
47,1921-12-01
48,1922-01-01
49,1922-02-01
50,1922-03-01
51,1922-04-01
52,1922-05-01
53,1922-06-01
54,1922-07-01
55,1922-08-01
56,1922-09-01
57,1922-10-01
58,1922-11-01
59,1922-12-01
60,1923-01-01
61,1923-02-01
62,1923-03-01
63,1923-04-01
64,1923-05-01
65,1923-06-01
66,1923-07-01
67,1923-08-01
68,1923-09-01
69,1923-10-01
70,1923-11-01
71,1923-12-01
72,1924-01-01
73,1924-02-01
74,1924-03-01
75,1924-04-01
76,1924-05-01
77,1924-06-01
78,1924-07-01
79,1924-08-01
80,1924-09-01
81,1924-10-01
82,1924-11-01
83,1924-12-01
84,1925-01-01
85,1925-02-01
86,1925-03-01
87,1925-04-01
88,1925-05-01
89,1925-06-01
90,1925-07-01
91,1925-08-01
92,1925-09-01
93,1925-10-01
94,1925-11-01
95,1925-12-01
96,1926-01-01
97,1926-02-01
98,1926-03-01
99,1926-04-01
100,1926-05-01
101,1926-06-01
102,1926-07-01
103,1926-08-01
104,1926-09-01
105,1926-10-01
106,1926-11-01
107,1926-12-01
108,1927-01-01
109,1927-02-01
110,1927-03-01
111,1927-04-01
112,1927-05-01
113,1927-06-01
114,1927-07-01
115,1927-08-01
116,1927-09-01
117,1927-10-01
118,1927-11-01
119,1927-12-01
120,1928-01-01
121,1928-02-01
122,1928-03-01
123,1928-04-01
124,1928-05-01
125,1928-06-01
126,1928-07-01
127,1928-08-01
128,1928-09-01
129,1928-10-01
130,1928-11-01
131,1928-12-01
132,1929-01-01
133,1929-02-01
134,1929-03-01
135,1929-04-01
136,1929-05-01
137,1929-06-01
138,1929-07-01
139,1929-08-01
140,1929-09-01
141,1929-10-01
142,1929-11-01
143,1929-12-01
144,1930-01-01
145,1930-02-01
146,1930-03-01
147,1930-04-01
148,1930-05-01
149,1930-06-01
150,1930-07-01
151,1930-08-01
152,1930-09-01
153,1930-10-01
154,1930-11-01
155,1930-12-01
156,1931-01-01
157,1931-02-01
158,1931-03-01
159,1931-04-01
160,1931-05-01
161,1931-06-01
162,1931-07-01
163,1931-08-01
164,1931-09-01
165,1931-10-01
166,1931-11-01
167,1931-12-01
168,1932-01-01
169,1932-02-01
170,1932-03-01
171,1932-04-01
172,1932-05-01
173,1932-06-01
174,1932-07-01
175,1932-08-01
176,1932-09-01
177,1932-10-01
178,1932-11-01
179,1932-12-01
180,1933-01-01
181,1933-02-01
182,1933-03-01
183,1933-04-01
184,1933-05-01
185,1933-06-01
186,1933-07-01
187,1933-08-01
188,1933-09-01
189,1933-10-01
190,1933-11-01
191,1933-12-01
192,1934-01-01
193,1934-02-01
194,1934-03-01
195,1934-04-01
196,1934-05-01
197,1934-06-01
198,1934-07-01
199,1934-08-01
200,1934-09-01
201,1934-10-01
202,1934-11-01
203,1934-12-01
204,1935-01-01
205,1935-02-01
206,1935-03-01
207,1935-04-01
208,1935-05-01
209,1935-06-01
210,1935-07-01
211,1935-08-01
212,1935-09-01
213,1935-10-01
214,1935-11-01
215,1935-12-01
216,1936-01-01
217,1936-02-01
218,1936-03-01
219,1936-04-01
220,1936-05-01
221,1936-06-01
222,1936-07-01
223,1936-08-01
224,1936-09-01
225,1936-10-01
226,1936-11-01
227,1936-12-01
228,1937-01-01
229,1937-02-01
230,1937-03-01
231,1937-04-01
232,1937-05-01
233,1937-06-01
234,1937-07-01
235,1937-08-01
236,1937-09-01
237,1937-10-01
238,1937-11-01
239,1937-12-01
240,1938-01-01
241,1938-02-01
242,1938-03-01
243,1938-04-01
244,1938-05-01
245,1938-06-01
246,1938-07-01
247,1938-08-01
248,1938-09-01
249,1938-10-01
250,1938-11-01
251,1938-12-01
252,1939-01-01
253,1939-02-01
254,1939-03-01
255,1939-04-01
256,1939-05-01
257,1939-06-01
258,1939-07-01
259,1939-08-01
260,1939-09-01
261,1939-10-01
262,1939-11-01
263,1939-12-01
264,1940-01-01
265,1940-02-01
266,1940-03-01
267,1940-04-01
268,1940-05-01
269,1940-06-01
270,1940-07-01
271,1940-08-01
272,1940-09-01
273,1940-10-01
274,1940-11-01
275,1940-12-01
276,1941-01-01
277,1941-02-01
278,1941-03-01
279,1941-04-01
280,1941-05-01
281,1941-06-01
282,1941-07-01
283,1941-08-01
284,1941-09-01
285,1941-10-01
286,1941-11-01
287,1941-12-01
288,1942-01-01
289,1942-02-01
290,1942-03-01
291,1942-04-01
292,1942-05-01
293,1942-06-01
294,1942-07-01
295,1942-08-01
296,1942-09-01
297,1942-10-01
298,1942-11-01
299,1942-12-01
300,1943-01-01
301,1943-02-01
302,1943-03-01
303,1943-04-01
304,1943-05-01
305,1943-06-01
306,1943-07-01
307,1943-08-01
308,1943-09-01
309,1943-10-01
310,1943-11-01
311,1943-12-01
312,1944-01-01
313,1944-02-01
314,1944-03-01
315,1944-04-01
316,1944-05-01
317,1944-06-01
318,1944-07-01
319,1944-08-01
320,1944-09-01
321,1944-10-01
322,1944-11-01
323,1944-12-01
324,1945-01-01
325,1945-02-01
326,1945-03-01
327,1945-04-01
328,1945-05-01
329,1945-06-01
330,1945-07-01
331,1945-08-01
332,1945-09-01
333,1945-10-01
334,1945-11-01
335,1945-12-01
336,1946-01-01
337,1946-02-01
338,1946-03-01
339,1946-04-01
340,1946-05-01
341,1946-06-01
342,1946-07-01
343,1946-08-01
344,1946-09-01
345,1946-10-01
346,1946-11-01
347,1946-12-01
348,1947-01-01
349,1947-02-01
350,1947-03-01
351,1947-04-01
352,1947-05-01
353,1947-06-01
354,1947-07-01
355,1947-08-01
356,1947-09-01
357,1947-10-01
358,1947-11-01
359,1947-12-01
360,1948-01-01
361,1948-02-01
362,1948-03-01
363,1948-04-01
364,1948-05-01
365,1948-06-01
366,1948-07-01
367,1948-08-01
368,1948-09-01
369,1948-10-01
370,1948-11-01
371,1948-12-01
372,1949-01-01
373,1949-02-01
374,1949-03-01
375,1949-04-01
376,1949-05-01
377,1949-06-01
378,1949-07-01
379,1949-08-01
380,1949-09-01
381,1949-10-01
382,1949-11-01
383,1949-12-01
384,1950-01-01
385,1950-02-01
386,1950-03-01
387,1950-04-01
388,1950-05-01
389,1950-06-01
390,1950-07-01
391,1950-08-01
392,1950-09-01
393,1950-10-01
394,1950-11-01
395,1950-12-01
396,1951-01-01
397,1951-02-01
398,1951-03-01
399,1951-04-01
400,1951-05-01
401,1951-06-01
402,1951-07-01
403,1951-08-01
404,1951-09-01
405,1951-10-01
406,1951-11-01
407,1951-12-01
408,1952-01-01
409,1952-02-01
410,1952-03-01
411,1952-04-01
412,1952-05-01
413,1952-06-01
414,1952-07-01
415,1952-08-01
416,1952-09-01
417,1952-10-01
418,1952-11-01
419,1952-12-01
420,1953-01-01
421,1953-02-01
422,1953-03-01
