Month,St. Clair
1918-01-01,572.8
1918-02-01,573.29
1918-03-01,573.29
1918-04-01,573.62
1918-05-01,574.15
1918-06-01,574.61
1918-07-01,574.7
1918-08-01,574.67
1918-09-01,574.48
1918-10-01,574.25
1918-11-01,574.08
1918-12-01,574.11
1919-01-01,574.61
1919-02-01,573.75
1919-03-01,574.15
1919-04-01,574.61
1919-05-01,575.13
1919-06-01,575.2
1919-07-01,574.97
1919-08-01,574.67
1919-09-01,574.34
1919-10-01,574.15
1919-11-01,573.85
1919-12-01,573.36
1920-01-01,571.85
1920-02-01,572.18
1920-03-01,572.77
1920-04-01,573.56
1920-05-01,573.98
1920-06-01,574.18
1920-07-01,574.38
1920-08-01,574.41
1920-09-01,574.18
1920-10-01,573.88
1920-11-01,573.62
1920-12-01,573.52
1921-01-01,573.72
1921-02-01,572.28
1921-03-01,573.49
1921-04-01,574.15
1921-05-01,574.38
1921-06-01,574.41
1921-07-01,574.34
1921-08-01,574.05
1921-09-01,573.75
1921-10-01,573.39
1921-11-01,573.29
1921-12-01,573.36
1922-01-01,572.77
1922-02-01,572.15
1922-03-01,572.9
1922-04-01,573.88
1922-05-01,574.11
1922-06-01,574.15
1922-07-01,574.38
1922-08-01,574.21
1922-09-01,574.05
1922-10-01,573.59
1922-11-01,573.13
1922-12-01,573.0
1923-01-01,572.6
1923-02-01,572.18
1923-03-01,572.57
1923-04-01,572.93
1923-05-01,573.36
1923-06-01,573.56
1923-07-01,573.65
1923-08-01,573.46
1923-09-01,573.33
1923-10-01,573.03
1923-11-01,572.7
1923-12-01,572.7
1924-01-01,572.77
1924-02-01,571.82
1924-03-01,572.21
1924-04-01,572.93
1924-05-01,573.36
1924-06-01,573.52
1924-07-01,573.75
1924-08-01,573.65
1924-09-01,573.46
1924-10-01,573.2
1924-11-01,572.57
1924-12-01,572.24
1925-01-01,571.78
1925-02-01,571.46
1925-03-01,572.15
1925-04-01,572.57
1925-05-01,572.54
1925-06-01,572.57
1925-07-01,572.67
1925-08-01,572.64
1925-09-01,572.44
1925-10-01,572.05
1925-11-01,571.85
1925-12-01,571.65
1926-01-01,570.67
1926-02-01,570.51
1926-03-01,571.13
1926-04-01,571.92
1926-05-01,572.44
1926-06-01,572.6
1926-07-01,572.77
1926-08-01,572.83
1926-09-01,572.83
1926-10-01,572.9
1926-11-01,572.74
1926-12-01,572.87
1927-01-01,571.72
1927-02-01,571.26
1927-03-01,572.01
1927-04-01,573.0
1927-05-01,573.26
1927-06-01,573.59
1927-07-01,573.75
1927-08-01,573.59
1927-09-01,573.2
1927-10-01,572.97
1927-11-01,572.64
1927-12-01,572.97
1928-01-01,572.87
1928-02-01,572.38
1928-03-01,572.01
1928-04-01,573.26
1928-05-01,573.62
1928-06-01,573.95
1928-07-01,574.34
1928-08-01,574.31
1928-09-01,573.95
1928-10-01,573.82
1928-11-01,573.79
1928-12-01,573.79
1929-01-01,574.18
1929-02-01,574.57
1929-03-01,574.44
1929-04-01,575.2
1929-05-01,575.72
1929-06-01,575.75
1929-07-01,575.85
1929-08-01,575.59
1929-09-01,575.26
1929-10-01,574.8
1929-11-01,574.48
1929-12-01,574.31
1930-01-01,574.38
1930-02-01,574.08
1930-03-01,574.84
1930-04-01,575.1
1930-05-01,575.1
1930-06-01,575.0
1930-07-01,575.03
1930-08-01,574.77
1930-09-01,574.38
1930-10-01,574.05
1930-11-01,573.49
1930-12-01,573.29
1931-01-01,572.74
1931-02-01,571.36
1931-03-01,571.29
1931-04-01,572.7
1931-05-01,573.03
1931-06-01,573.16
1931-07-01,573.23
1931-08-01,573.06
1931-09-01,572.77
1931-10-01,572.54
1931-11-01,572.28
1931-12-01,572.24
1932-01-01,572.7
1932-02-01,572.83
1932-03-01,572.01
1932-04-01,572.77
1932-05-01,573.1
1932-06-01,573.13
1932-07-01,573.03
1932-08-01,572.83
1932-09-01,572.74
1932-10-01,572.38
1932-11-01,572.34
1932-12-01,572.8
1933-01-01,572.34
1933-02-01,571.72
1933-03-01,572.21
1933-04-01,573.03
1933-05-01,573.36
1933-06-01,573.39
1933-07-01,573.39
1933-08-01,573.16
1933-09-01,572.77
1933-10-01,572.38
1933-11-01,572.05
1933-12-01,572.11
1934-01-01,570.9
1934-02-01,571.0
1934-03-01,571.03
1934-04-01,572.05
1934-05-01,572.24
1934-06-01,572.34
1934-07-01,572.51
1934-08-01,572.21
1934-09-01,571.98
1934-10-01,571.75
1934-11-01,571.46
1934-12-01,571.72
1935-01-01,571.56
1935-02-01,570.64
1935-03-01,571.59
1935-04-01,572.08
1935-05-01,572.31
1935-06-01,572.51
1935-07-01,572.74
1935-08-01,572.74
1935-09-01,572.44
1935-10-01,572.11
1935-11-01,572.05
1935-12-01,571.85
1936-01-01,570.47
1936-02-01,571.29
1936-03-01,572.05
1936-04-01,572.47
1936-05-01,572.7
1936-06-01,572.8
1936-07-01,572.67
1936-08-01,572.44
1936-09-01,572.47
1936-10-01,572.34
1936-11-01,572.05
1936-12-01,572.11
1937-01-01,572.44
1937-02-01,572.11
1937-03-01,572.41
1937-04-01,572.87
1937-05-01,573.29
1937-06-01,573.39
1937-07-01,573.59
1937-08-01,573.43
1937-09-01,573.03
1937-10-01,572.64
1937-11-01,572.24
1937-12-01,572.7
1938-01-01,571.78
1938-02-01,572.54
1938-03-01,572.21
1938-04-01,573.29
1938-05-01,573.46
1938-06-01,573.65
1938-07-01,573.82
1938-08-01,573.82
1938-09-01,573.62
1938-10-01,573.43
1938-11-01,573.06
1938-12-01,572.83
1939-01-01,572.97
1939-02-01,571.29
1939-03-01,572.11
1939-04-01,573.49
1939-05-01,573.72
1939-06-01,573.95
1939-07-01,574.05
1939-08-01,573.92
1939-09-01,573.79
1939-10-01,573.43
1939-11-01,573.16
1939-12-01,572.9
1940-01-01,572.05
1940-02-01,571.62
1940-03-01,571.85
1940-04-01,573.13
1940-05-01,573.23
1940-06-01,573.62
1940-07-01,573.75
1940-08-01,573.69
1940-09-01,573.56
1940-10-01,573.36
1940-11-01,572.9
1940-12-01,573.03
1941-01-01,572.7
1941-02-01,571.78
1941-03-01,572.24
1941-04-01,572.77
1941-05-01,573.13
1941-06-01,573.33
1941-07-01,573.26
1941-08-01,573.1
1941-09-01,572.9
1941-10-01,572.83
1941-11-01,572.64
1941-12-01,572.6
1942-01-01,572.24
1942-02-01,571.1
1942-03-01,572.24
1942-04-01,573.59
1942-05-01,573.82
1942-06-01,574.25
1942-07-01,574.28
1942-08-01,574.21
1942-09-01,573.95
1942-10-01,573.82
1942-11-01,573.56
1942-12-01,573.56
1943-01-01,573.16
1943-02-01,572.74
1943-03-01,573.62
1943-04-01,574.11
1943-05-01,574.97
1943-06-01,575.33
1943-07-01,575.59
1943-08-01,575.49
1943-09-01,575.26
1943-10-01,574.93
1943-11-01,574.61
1943-12-01,574.38
1944-01-01,572.6
1944-02-01,573.1
1944-03-01,573.29
1944-04-01,574.44
1944-05-01,574.74
1944-06-01,574.9
1944-07-01,574.87
1944-08-01,574.67
1944-09-01,574.44
1944-10-01,574.28
1944-11-01,573.92
1944-12-01,573.79
1945-01-01,573.26
1945-02-01,572.9
