Month,Superior
1918-01-01,601.21
1918-02-01,601.05
1918-03-01,600.95
1918-04-01,600.85
1918-05-01,601.12
1918-06-01,601.51
1918-07-01,601.71
1918-08-01,601.8
1918-09-01,601.87
1918-10-01,601.84
1918-11-01,601.9
1918-12-01,601.84
1919-01-01,601.64
1919-02-01,601.44
1919-03-01,601.31
1919-04-01,601.41
1919-05-01,601.64
1919-06-01,601.87
1919-07-01,601.97
1919-08-01,601.94
1919-09-01,601.9
1919-10-01,601.77
1919-11-01,601.8
1919-12-01,601.67
1920-01-01,601.35
1920-02-01,601.28
1920-03-01,601.31
1920-04-01,601.57
1920-05-01,601.8
1920-06-01,602.1
1920-07-01,602.3
1920-08-01,602.36
1920-09-01,602.17
1920-10-01,602.03
1920-11-01,601.8
1920-12-01,601.57
1921-01-01,601.41
1921-02-01,601.12
1921-03-01,600.98
1921-04-01,601.15
1921-05-01,601.54
1921-06-01,601.84
1921-07-01,601.97
1921-08-01,602.03
1921-09-01,602.03
1921-10-01,601.84
1921-11-01,601.54
1921-12-01,601.28
1922-01-01,600.95
1922-02-01,600.75
1922-03-01,600.69
1922-04-01,600.89
1922-05-01,601.35
1922-06-01,601.57
1922-07-01,601.87
1922-08-01,602.03
1922-09-01,602.1
1922-10-01,601.87
1922-11-01,601.67
1922-12-01,601.41
1923-01-01,601.15
1923-02-01,600.89
1923-03-01,600.79
1923-04-01,600.75
1923-05-01,600.98
1923-06-01,601.08
1923-07-01,601.28
1923-08-01,601.38
1923-09-01,601.44
1923-10-01,601.38
1923-11-01,601.31
1923-12-01,601.12
1924-01-01,600.89
1924-02-01,600.62
1924-03-01,600.43
1924-04-01,600.46
1924-05-01,600.56
1924-06-01,600.69
1924-07-01,600.79
1924-08-01,601.05
1924-09-01,601.25
1924-10-01,601.31
1924-11-01,601.05
1924-12-01,600.75
1925-01-01,600.46
1925-02-01,600.26
1925-03-01,600.16
1925-04-01,600.2
1925-05-01,600.33
1925-06-01,600.59
1925-07-01,600.79
1925-08-01,600.92
1925-09-01,600.89
1925-10-01,600.72
1925-11-01,600.43
1925-12-01,600.13
1926-01-01,599.84
1926-02-01,599.61
1926-03-01,599.54
1926-04-01,599.48
1926-05-01,599.61
1926-06-01,599.9
1926-07-01,600.26
1926-08-01,600.46
1926-09-01,600.79
1926-10-01,601.02
